,Time,Open,High,Low,Close,Volume
34907,2021-01-06 12:55:00,507.98,509.1,507.98,508.87,29463
34908,2021-01-06 13:00:00,508.96,509.85,508.87,509.85,21186
34909,2021-01-06 13:05:00,509.86,510.11,509.225,509.225,24895
34910,2021-01-06 13:10:00,509.03,509.45,508.54,509.3374,20897
34911,2021-01-06 13:15:00,509.45,510.5,509.35,510.37,26781
34912,2021-01-06 13:20:00,510.375,510.65,509.99,510.14,20485
34913,2021-01-06 13:25:00,510.08,510.32,509.32,509.32,21735
34914,2021-01-06 13:30:00,509.43,510.2,509.4,509.52,36116
34915,2021-01-06 13:35:00,509.7,510.33,509.53,510.3,28297
34916,2021-01-06 13:40:00,510.32,510.77,510.32,510.64,23717
34917,2021-01-06 13:45:00,510.6967,511.4037,510.5,510.6304,36576
34918,2021-01-06 13:50:00,510.79,513.0998,510.285,510.8,176206
34919,2021-01-06 13:55:00,511.1,511.251,509.8,510.5,48862
34920,2021-01-06 14:00:00,510.4979,510.815,510.3,510.6135,21409
34921,2021-01-06 14:05:00,510.68,511.87,510.68,511.2,26414
34922,2021-01-06 14:10:00,511.18,512.025,511.18,511.84,34400
34923,2021-01-06 14:15:00,511.75,511.75,510.9,511.69,28022
34924,2021-01-06 14:20:00,511.78,511.78,510.0,510.71,29353
34925,2021-01-06 14:25:00,510.614,511.1175,509.73,509.73,20903
34926,2021-01-06 14:30:00,509.7301,510.29,508.32,508.32,54693
34927,2021-01-06 14:35:00,508.35,509.865,508.14,509.5638,29743
34928,2021-01-06 14:40:00,509.02,509.33,507.5,507.7,35736
34929,2021-01-06 14:45:00,507.67,509.34,507.244,508.32,50496
34930,2021-01-06 14:50:00,508.465,508.5775,506.43,506.49,45108
34931,2021-01-06 14:55:00,506.555,506.8,505.8601,506.2,51870
34932,2021-01-06 15:00:00,506.01,507.4377,505.93,506.08,44678
34933,2021-01-06 15:05:00,506.01,506.87,505.23,505.53,51531
34934,2021-01-06 15:10:00,505.47,506.351,505.09,505.64,38036
34935,2021-01-06 15:15:00,505.49,506.2102,505.05,505.365,43477
34936,2021-01-06 15:20:00,505.4,505.49,504.69,504.84,76835
34937,2021-01-06 15:25:00,504.72,505.19,503.43,503.5153,54219
34938,2021-01-06 15:30:00,503.43,504.79,502.97,504.7,52615
34939,2021-01-06 15:35:00,504.68,505.0,503.25,504.02,59967
34940,2021-01-06 15:40:00,503.92,503.99,502.1741,502.3662,65251
34941,2021-01-06 15:45:00,502.295,504.7146,502.2532,504.4528,63094
34942,2021-01-06 15:50:00,504.395,504.7899,503.75,503.94,86249
